name,pname,cityname,adname,townName,address,tel,location,id,tag,pcode,parent,distance,importance,biz_ext,biz_type,recommend,type,photos,discount_num,gridcode,typecode,shopinfo,poiweight,citycode,children,alias,event,entr_location,indoor_map,email,timestamp,website,adcode,postcode,match,business_area,indoor_data,childtype,exit_location,shopid,navi_poiid,groupbuy_num,isin_region,查询关键词,手机号识别,gcj02_lng,gcj02_lat,行业大类,行业子类
莱科国际名车,陕西省,西安市,莲湖区,,唐延路北段168号唐延中心城1层,130****1553,"108.888743,34.238760",B0FFJMG2VR,,,[],[],[],[],[],,汽车销售;汽车销售;汽车销售,[],,,20000,1,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,108.888743,34.23876,汽车销售,汽车销售
新飞扬英语培训中心,陕西省,西安市,周至县,全部,二曲街道工业路金周老碗侧门,151****5600,"108.218135,34.155168",B0FFGJU244,[],610000,[],[],[],"{'cost': [], 'rating': '3.0'}",[],0,科教文化服务;培训机构;培训机构,[],0,5108118711,141400,0,[],29,[],[],[],[],0,[],2021/12/7 16:27,[],610124,[],0,中心西街,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],I49F023002_12029,0,yes,,1,108.218135,34.155168,科教文化服务,培训机构
西安科大高新国际课程中心,陕西省,西安市,长安区,,子午大道中段39号,130****8431,"108.884998,34.101707",B0FFGAP5XN,,,[],[],[],[],[],,科教文化服务;学校;中学,[],,,141202,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,108.884998,34.101707,科教文化服务,学校
生活诚品儿童学习书桌,陕西省,西安市,周至县,全部,工业路佳家美超市内,137****0371,"108.208810,34.154782",B0FFL5B648,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,科教文化服务;培训机构;培训机构,"[{'title': [], 'url': 'http://aos-cdn-image.amap.com/sns/ugccomment/7cf3b4c8-e9ca-4c0c-8fb4-9ee831eb542f.jpg'}, {'title': [], 'url': 'http://aos-cdn-image.amap.com/sns/ugccomment/d48ffaa8-10af-4c47-8152-c6e89bb51fe4.jpg'}, {'title': [], 'url': 'http://aos-cdn-image.amap.com/sns/ugccomment/0bf186ad-d310-4ca2-98ad-76657b6e6cf8.jpg'}]",0,5108118612,141400,1,[],29,[],[],[],"108.208897,34.155134",0,[],2021/12/7 23:55,[],610124,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,108.20881,34.154782,科教文化服务,培训机构
创才幼儿学园,陕西省,西安市,莲湖区,,东举院巷86号附近,133****1564,"108.93095,34.262421",B001D07LF3,,,[],[],[],[],[],,科教文化服务;学校;幼儿园,[],,,141204,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,108.93095,34.262421,科教文化服务,学校
广济镇中心小学,陕西省,西安市,周至县,全部,周哑路广济镇中心幼儿园,187****0592,"108.154889,34.11437",B0FFHJBJCG,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,科教文化服务;学校;小学,[],0,5108113210,141203,0,[],29,[],[],[],"108.150926,34.11271",0,[],2021/11/21 21:19,[],610124,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,108.154889,34.11437,科教文化服务,学校
陕西全务人才发展研究院,陕西省,西安市,雁塔区,,翠华南路275号大唐电信第四研究院综合楼6F,132****6339;186****7651,"108.958013,34.221923",B0H25SMRLV,,,[],[],[],[],[],,科教文化服务;科研机构;科研机构,[],,,141300,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,108.958013,34.221923,科教文化服务,科研机构
一博教育周礼小夫子学堂,陕西省,西安市,周至县,全部,廉租房小区西南50米(老城东街南),155****8808,"108.232518,34.162405",B0HRLC1EJ0,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,科教文化服务;培训机构;培训机构,[],0,5108119811,141400,0,[],29,[],[],[],[],0,[],2021/11/23 23:49,[],610124,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,108.232518,34.162405,科教文化服务,培训机构
高新路小学,陕西省,西安市,雁塔区,,高新路25号糜家桥小区,177****1928;180****5024,"108.91095,34.235608",B0FFHLZ84G,,,[],[],[],[],[],,科教文化服务;学校;小学,[],,,141203,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,108.91095,34.235608,科教文化服务,学校
周至童星动体育文化传播有限公司,陕西省,西安市,周至县,全部,瑞光路7号4层,155****6003,"108.212379,34.161880",B0G3A664H7,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,科教文化服务;科教文化场所;科教文化场所,[],0,5108119612,140000,0,[],29,[],[],[],[],0,[],2021/12/7 17:48,[],610124,[],0,中心西街,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,108.212379,34.16188,科教文化服务,科教文化场所
大王昆仑轮胎批发,陕西省,西安市,鄠邑区,,鄠邑区鄠邑区大王街道108国道大王轮胎批发,139****3311,"108.662919,34.203264",B0G0YYJA0E,,,[],[],[],[],[],,汽车销售;汽车销售;汽车销售,[],,,20000,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,108.662919,34.203264,汽车销售,汽车销售
元典博物馆,陕西省,西安市,未央区,,兴泰二街丝路国际创意梦工厂3号楼3层,139****9789,"109.015046,34.331791",B0HAS58I97,,,B0G1ZN187G,[],[],[],[],,科教文化服务;博物馆;博物馆,[],,,140100,0,[],,,,,,,,,,,,,,,202,,[],,,yes,,1,109.015046,34.331791,科教文化服务,博物馆
广济瑞姿艺术培训中心,陕西省,西安市,周至县,全部,广济镇南十字向南300米(雅居家具城3楼内),130****5358,"108.150757,34.110968",B0GUPDZDLF,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,科教文化服务;培训机构;培训机构,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/7656af978202ea2b5b3a40260a5025b5'}]",0,5108113200,141400,1,[],29,[],[],[],[],0,[],2021/11/22 6:23,[],610124,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,108.150757,34.110968,科教文化服务,培训机构
木色都钢琴教育,陕西省,西安市,周至县,全部,老城东街115号附近,158****7969,"108.225824,34.162979",B0GRCLFNMD,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,科教文化服务;培训机构;培训机构,[],0,5108119810,141400,0,[],29,[],[],[],[],0,[],2021/11/25 15:30,[],610124,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,108.225824,34.162979,科教文化服务,培训机构
致远教育,陕西省,西安市,周至县,全部,老城东街45号附近,155****1333;158****1069,"108.222981,34.163229",B0FFG7RNXU,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,科教文化服务;培训机构;培训机构,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/13f63689b4ce660b0a623fa5580db01a'}]",0,5108119712,141400,0,[],29,[],[],[],[],0,[],2021/12/7 23:13,[],610124,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],I49F023002_8387,0,yes,,1,108.222981,34.163229,科教文化服务,培训机构
郭杜街道红太阳幼儿园,陕西省,西安市,长安区,,红太阳幼儿园南50米(文苑南路东),136****9401,"108.884545,34.126534",B0FFGFRA4C,,,[],[],[],[],[],,科教文化服务;学校;幼儿园,[],,,141204,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,108.884545,34.126534,科教文化服务,学校
西安市驾驶人社会化盈同科目二考场,陕西省,西安市,长安区,,唐苑南路与汉风路交叉口南150米,153****1818,"109.043299,34.181602",B0FFKRTJ2H,,,[],[],[],[],[],,科教文化服务;科教文化场所;科教文化场所,[],,,140000,1,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,109.043299,34.181602,科教文化服务,科教文化场所
眉县天宇考场,陕西省,宝鸡市,眉县,,金渠镇霸王河工业园,153****8555,"107.832650,34.217262",B0FFHWJJ3P,,,[],[],[],[],[],,科教文化服务;科教文化场所;科教文化场所,[],,,140000,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,107.83265,34.217262,科教文化服务,科教文化场所
吉利汽车(阎良专营店),陕西省,西安市,阎良区,,秦郭路与新关路交叉口南113米,187****9276,"109.275056,34.658367",B0FFKC4UX7,,,[],[],[],[],[],,汽车销售;汽车销售;汽车销售,[],,,20000,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,109.275056,34.658367,汽车销售,汽车销售
知也美术馆,陕西省,西安市,雁塔区,,曲江新区唐城墙遗址公园九区B栋,137****2000,"108.992883,34.209527",B0FFL9OOG9,,,B0FFFFWZID,[],[],[],[],,科教文化服务;美术馆;美术馆,[],,,140400,0,[],,,,,,,,,,,,,,,302,,[],,,yes,,1,108.992883,34.209527,科教文化服务,美术馆
梵莫达艺术馆,陕西省,西安市,雁塔区,,曲江风景线小区12栋2单元102,177****2274,"108.994223,34.212032",B0GK7C1GKT,,,[],[],[],[],[],,科教文化服务;展览馆;展览馆,[],,,140200,1,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,108.994223,34.212032,科教文化服务,展览馆
周至县文体中心,陕西省,西安市,周至县,全部,中心东街29号,137****9576,"108.224700,34.160061",B001D0VTIX,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,科教文化服务;文化宫;文化宫,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/bffda0296eebc9cd03ef84fd9e0577cb'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/ba30081c0b5589cdc8a2769d0d5eb272'}]",0,5108119702,140800,0,[],29,[],[],[],[],0,[],2021/12/7 12:18,[],610124,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],I49F023002_1679,0,yes,,1,108.2247,34.160061,科教文化服务,文化宫
爱乐宝优品幼儿园,陕西省,西安市,雁塔区,,世家星城二期(东仪路西),177****8835;180****0450,"108.927638,34.193057",B0FFI2HKHA,,,[],[],[],[],[],,科教文化服务;学校;幼儿园,[],,,141204,1,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,108.927638,34.193057,科教文化服务,学校
青果主持表演艺术中心,陕西省,西安市,周至县,全部,北泉巷飞天大酒店旁,132****4656;155****7629,"108.222241,34.166530",B0H65AMGN2,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,科教文化服务;培训机构;培训机构,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/5181d766c3094bc3b9c8bdd058c98a78'}]",0,5108119722,141400,0,[],29,[],[],[],[],0,[],2021/11/29 22:27,[],610124,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,108.222241,34.16653,科教文化服务,培训机构
增光画室,陕西省,西安市,周至县,全部,万寿南路与中心东街交叉路口南侧(壹号公馆),159****6655,"108.226454,34.159804",B0H65HNMGI,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,科教文化服务;培训机构;培训机构,[],0,5108119800,141400,0,[],29,[],[],[],[],0,[],2021/11/24 7:36,[],610124,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,108.226454,34.159804,科教文化服务,培训机构
快活书舍,陕西省,西安市,碑林区,,中贸广场12号楼2105室,177****2336,"108.945011,34.243242",B0FFMGY9PM,,,B001D07TKI,[],[],[],[],,科教文化服务;图书馆;图书馆,[],,,140500,1,[],,,,,,,,,,,,,,,202,,[],,,no,,1,108.945011,34.243242,科教文化服务,图书馆
三醒自习室(汉城南路店),陕西省,西安市,雁塔区,,昆明路与昆明池路交汇处未来中心公寓A栋2229室,199****6977,"108.868339,34.251732",B0H24RNWYH,,,[],[],[],[],[],,科教文化服务;培训机构;培训机构,[],,,141400,1,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,108.868339,34.251732,科教文化服务,培训机构
王子河畔幼儿园,陕西省,西安市,长安区,,西京路1号,159****7099,"108.934121,34.139327",B0FFKF0KSR,,,[],[],[],[],[],,科教文化服务;学校;幼儿园,[],,,141204,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,108.934121,34.139327,科教文化服务,学校
终南山凤凰书院,陕西省,西安市,长安区,,杨庄街道凤翔沟老村,133****4006,"109.151162,34.011025",B0HBFSZ7XY,,,[],[],[],[],[],,科教文化服务;科教文化场所;科教文化场所,[],,,140000,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,109.151162,34.011025,科教文化服务,科教文化场所
新舟教育培训学校,陕西省,西安市,周至县,全部,万寿北路17号附近,188****6365,"108.226958,34.162106",B0H6USUOCX,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,科教文化服务;培训机构;培训机构,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/e34497fc30748f0b155a983211c3f3ca'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/49366477959c04e68fd87df60b0e9a21'}]",0,5108119810,141400,0,[],29,[],[],[],[],0,[],2021/12/7 21:40,[],610124,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],I49F023002_9587,0,yes,,1,108.226958,34.162106,科教文化服务,培训机构
angel米多艺术文化馆,陕西省,西安市,雁塔区,,电子正街万象春天10号楼二单元,186****7137,"108.917380,34.192401",B0FFIPF58G,,,[],[],[],[],[],,科教文化服务;科教文化场所;科教文化场所,[],,,140000,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,108.91738,34.192401,科教文化服务,科教文化场所
大学生活动中心东街菜鸟驿站,陕西省,西安市,长安区,,大学生活动中心中街A5,173****9723,"108.935836,34.124928",B0FFLK3GTS,,,[],[],[],[],[],,科教文化服务;学校;高等院校,[],,,141201,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,108.935836,34.124928,科教文化服务,学校
博睿教育托管中心,陕西省,西安市,周至县,全部,老城东街162号,180****4960;159****9918,"108.226234,34.162733",B0FFFHJQRI,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,科教文化服务;培训机构;培训机构,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/5b3c0691e714acd79c7e0571e613fbb2'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/e190aad2ea4fd06947989ad477bcebce'}]",0,5108119810,141400,0,[],29,[],[],[],[],0,[],2021/12/7 22:36,[],610124,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],I49F023002_6082,0,yes,,1,108.226234,34.162733,科教文化服务,培训机构
睿智baby托育园,陕西省,西安市,周至县,全部,周至县人民医院西侧东方年华小区商铺,177****0856;029-87112598,"108.209961,34.153036",B0FFJQY173,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,科教文化服务;培训机构;培训机构,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/2e8e81cfa4aa1ccf2c6343a4e3c583de'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/cdbb97582930937b86f027708b460c5a'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/4b095662ac6d012343c61e1330b1068f'}]",0,5108118612,141400,1,[],29,[],[],[],[],0,[],2021/12/7 19:38,[],610124,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,108.209961,34.153036,科教文化服务,培训机构
